"name","product_category_id","quantity","price","description","image"
"Foglie d’ulivo pasta secca di semola","1","500.00","1.90","Pasta secca con spinaci,Farina di semola di grano duro,Farina prodotta in Puglia,Formato 500 gr,Produzione Made in Italy artigianale
","/src/assets/img_ecommerce/cat_pasta/Foglie-d-ulivo.jpg"
"Maritati pasta secca di semola","1","500.00","2.50","Pasta secca con spinaci,Farina di semola di grano duro,Farina prodotta in Puglia,Formato 500 gr,Produzione Made in Italy artigianale","/src/assets/img_ecommerce/cat_pasta/Maritati.jpg"
"Strozzapreti pasta secca di semola","1","500.00","1.90","Pasta secca,Farina di semola di grano duro,Farina prodotta in Puglia,Formato 500 gr,Produzione Made in Italy artigianale","/src/assets/img_ecommerce/cat_pasta/Strozzapreti.jpg"
"Vino Bianco Biologico","2","0.75","9.80","Biologico
Caratteristiche organolettiche: colore paglierino brillante con riflessi verdognoli. Profumo fruttato, elegante, armonico, grigio, delicato, con il sapore caratteristico della Valle d’Itria
Si sposa con: Ottimo come aperitivo, ostriche, pesce/crostacei, risotti, parmigiano
Temperatura di servizio 10°C (aperitif 8°C.)
Alcol 12% Vol.
Realizzato in Valle d’Itria, riconosciuto IGT (Indicazione Geografica Tipica) ","/src/assets/img_ecommerce/cat_vini/Vino-bianco.jpg"
"Alìe Rosé - Ammiraglia","2","0.75","15.00","Alìe, un elegante Rosé dal colore chiaro, puro, con tenui riflessi rubino. Un raffinato equilibrio tra Syrah e Vermentino, che trovano nella vicinanza con il mare la loro massima espressione. Aromi di fiori bianchi, fragoline di bosco e bucce di agrumi si fondono in una struttura delicata con punte di mineralità tipiche del territorio, che donano un lungo e ricco finale. Incantevole dall’aperitivo ai pasti ed in buona compagnia.","/src/assets/img_ecommerce/cat_vini/alie_rosè.jpg"
"Santa Cristina Chianti","2","0.75","7.50","Di colore rosso rubino con riflessi violacei, presenta sentori di ciliegia e viola, frutti rossi e neri, con un finale leggermente speziato e vegetale. Al palato dimostra morbidezza e intensità, con buona persistenza e ritorno di note piccanti e speziate.

Perfetto per carni rosse, formaggi di media stagionatura e salumi freschi.","/src/assets/img_ecommerce/cat_vini/chianti-superiore.jpg"
"Confettura extra di albicocca","3","270.00","5.00","La tradizione delle confetture vede tra le classiche la confettura di albicocca. Sembra quasi che non se ne possa fare a meno sulla tavola della prima colazione. Certo è che si tratta di una confettura di facile e largo utilizzo. Una volta aperto il vasetto si sente avverte un gradevole aroma di albicocca che ricorda quelli della tradizione, confermando la sua genuinità e naturalezza.","/src/assets/img_ecommerce/cat_confetture/confettura_albicocca.jpg"
"Confettura extra di amarena","3","300.00","4.00","Simile alla ciliegia del ciliegio dolce, la varietà Amarena si distingue per le sue punte di gusto leggermente amarognolo, per gli amanti dei sapori di carattere.","/src/assets/img_ecommerce/cat_confetture/confettura-extra-di-amarena.jpg"
"Confettura extra di prugna","3","360.00","4.00","La prugna è uno di quei frutti che si apprezza solo quando piace veramente. La sua confettura è invece molto gradevole e accontenta un po’ tutti i palati. La si apprezza soprattutto quando non ci si aspetta molto e proprio in quel caso si rimane piacevolmente sorpresi.","/src/assets/img_ecommerce/cat_confetture/confettura-extra-di-prugna.jpg"
"Palloni al cioccolato","4","400.00","4.80","La classica colazione “morbida”arricchita di cioccolato puro! Con gocce di cioccolato fondente.","/src/assets/img_ecommerce/cat_biscotti/palloni-al-cioccolato.jpg"
"Ferratelle Abruzzesi","4","400.00","4.00","Le Ferratelle sono il più tipico dolce abruzzese a base di uova, zucchero e farina, preparato a mano con il classico ferro che le schiaccia e cuoce, molti ancora le fanno a casa . Sono conosciute anche come “Pizzelle” o “Neole” o “Cancellate” a seconda della zona dove vengono prodotte. Sono un dolce semplice fatto da ingredienti genuini. Le Ferratelle o Pizzelle che dir si voglia, si sposano perfettamente con una colazione sana senza olio di palma. Si abbinano perfettamente a creme spalmabili e marmellate.","/src/assets/img_ecommerce/cat_biscotti/ferratelle-abruzzesi.jpg"
"Morbidoni al cacao","4","400.00","4.50","La golosa colazione “morbida”, per chi cerca il gusto deciso del cioccolato! Al cacao con gocce di cioccolato fondente puro.","/src/assets/img_ecommerce/cat_biscotti/morbidoni-al-cacao.jpg"
"Ciambelline al Cioccolato","4","400.00","4.20","Croccanti e friabili, gustose per colazione o merenda, adatta al fine pasto accompagnate ad un nostro liquore artigianale o ad un buon vino. A base di farina, burro, zucchero, uova arricchite di golose gocce di cioccolato.","/src/assets/img_ecommerce/cat_biscotti/ciambelline-al-cioccolato.jpg"
"Orecchiette con farina di semola","1","500.00","1.90","Le Orecchiette Jesce sono preparato solo con semola di grano duro proveniente da filiera controllata e per questo garantita italiana al 100%. L'attenta selezione della materia prima e dei territori di produzione, unita alla lavorazione artigianale, con trafilatura al bronzo ed essicazione a bassa temperatura regalano a queste orecchiette sapore, consistenza e tenuta alla cottura.","/src/assets/img_ecommerce/cat_pasta/Orecchiette.jpg"
"Fusilli trafilati al bronzo","1","500.00","2.50","Farina di senatore cappelli,Farina prodotta in Puglia,Ceglie Messapica,Formato 500 gr,Pasta di semolato di grano duro","/src/assets/img_ecommerce/cat_pasta/Fusilli-trafilati-al-bronzo.jpg"
"Strascinate Pugliesi","1","500.00","2.40","Farina di senatore cappelli,Farina prodotta in Puglia – Ceglie,Messapica,Formato 500 gr
Pasta di semolato di grano duro","/src/assets/img_ecommerce/cat_pasta/Strascinate.jpg"
"Vino Rosato Biologico","2","0.75","9.50","Biologico
Si sposa con: tutti i piatti
Temperatura di servizio 18-20°
Alcol 13% Vol.
Realizzato in Valle d’Itria, riconosciuto IGT (Indicazione Geografica Tipica)","/src/assets/img_ecommerce/cat_vini/Vino-Rosato.jpg"
"Susumaniello Vino Rosso","2","0.75","12.00","Caratteristiche organolettiche: Colore rubino intenso con riflessi violacei, fortemente strutturato, la ricchezza di aromi, profumi e sapori si scopre al meglio dopo la decantazione
Si sposa con: Arrosti, grigliate e brasati, selvaggina, formaggi a pasta dura o da soli per una delizia speciale
Temperatura di servizio 18-20°
Alcol 13% Vol.
Realizzato in Valle d’Itria, riconosciuto IGT (Indicazione Geografica Tipica)","/src/assets/img_ecommerce/cat_vini/Susumaniello.jpg"
"Vino Rosso Biologico","2","0.75","12.00","Caratteristiche organolettiche: colore rubino; fruttato, speziato, armonico; fondo nero ricco, speziato, piacevole
Si sposa con: primi piatti con sughi, arrosti e grigliate, selvaggina, formaggi a pasta dura
Temperatura di servizio 18-20°
Alcol 13% Vol.
Realizzato in Valle d’Itria, riconosciuto IGT (Indicazione Geografica Tipica)
formato: 0,75lt
si consiglia la decantazione","/src/assets/img_ecommerce/cat_vini/Vino-rosso.jpg"
"Confettura extra di uva","3","220.00","6.00","L’uva da pasto, rossa o bianca che sia, quella da vino e quella per dolci. In tutte le sue forme e in tutte le sue varietà ha sempre incuriosito palati di tutte le età. La confettura stupisce ancor di più perché non è consuetudine trovarla nel punto vendita sul banco delle confetture. La qualità di uva che utilizziamo è molto zuccherina ed aromatica al punto tale da conferire un aroma senza eguali alla confettura. Un po’ tutte le nostre confetture si possono utilizzare per dolci ma questa in particolar modo sembra essere fatta appositamente per finire nell’impasto di una crostata o di un qualsiasi altro dolce che si voglia fare.","/src/assets/img_ecommerce/cat_confetture/confettura-extra-di-uva.jpg"
"Confettura extra di fragola","3","250.00","6.00","Le fragole non sono tutte uguali e tra queste ce n’è una in particolare che meglio esprime le peculiarità di questo frutto. La fragola Sabrosa è una monocultivar coltivata in Basilicata dove cresce rigogliosa grazie al clima favorevole e alla cura dei coltivatori. Si tratta di una fragola molto aromatica dal gusto intenso e dal sapore zuccherino. Ha in media una grandezza maggiore rispetto a quelle delle altre qualità e si presta con particolare favore alla trasformazione in confettura. Per chi nonla conosce questo è un invito spassionato ad assaggiarla, ne varrà la pena.","/src/assets/img_ecommerce/cat_confetture/confettura-extra-di-fragola.jpg"
"Confettura extra di pesca","3","250.00","6.00","A chi non è capitato di camminare tra i banchi del mercato e sentire tutto ad un tratto un piacevole profumo di pesca proveniente dalla più vicina bancarella. Questa confettura ha un profumo intenso che non risparmierà neanche chi di confetture non se ne intende. Probabilmente è il frutto che mette tutti d’accordo, soprattutto quando trasformata in una gustosa e profumata confettura.","/src/assets/img_ecommerce/cat_confetture/confettura-extra-di-pesca.jpg"
"Tozzetti alle Mandorle","4","350.00","4.00","Biscottino della tradizione locale, si faceva in casa e si offriva agli ospiti nelle occasioni come i matrimoni, e si gustava  con un buon liquore,  o bagnato nel vino, a fine pasto.  Croccanti e friabili ritagliati  a piccole losanghe, con preziose mandorle tostate all’interno","/src/assets/img_ecommerce/cat_biscotti/tozzetti-alle-mandorle.jpg"
"Casarecci","4","350.00","4.00","Biscottone da colazione di forma allungata e di colorito dorato.","/src/assets/img_ecommerce/cat_biscotti/caserecci.jpg"
"Maccheroni Pasta Senatore Cappelli","1","500.00","2.50","Farina di senatore cappelli
Farina prodotta in Puglia – Ceglie Messapica
Formato 500 gr
Pasta di semolato di grano duro","/src/assets/img_ecommerce/cat_pasta/Maccheroni.jpg"
"Cavatelli di grano senatore cappelli","1","500.00","3.00","Farina di senatore cappelli
Farina prodotta in Puglia – Ceglie Messapica
Formato 500 gr
Pasta di semolato di grano duro","/src/assets/img_ecommerce/cat_pasta/Cavatelli.jpg"
"Cavatelli pasta secca di semola","1","500.00","2.50","Pasta secca
Farina di semola di grano duro
Farina prodotta in Puglia
Formato 500 gr
Produzione Made in Italy artigianale","/src/assets/img_ecommerce/cat_pasta/Cavatelli-semola.jpg"
"Orecchiette integrali di semola","1","500.00","2.50","Pasta secca
Farina di semola di grano duro integrale
Farina prodotta in Puglia
Formato 500 gr
Produzione Made in Italy artigianale","/src/assets/img_ecommerce/cat_pasta/Orecchiette-integrali.jpg"
"Maritati integrali di semola","1","500.00","2.60","Pasta secca
Farina integrale di semola di grano duro
Farina prodotta in Puglia
Formato 500 gr
Produzione Made in Italy artigianale","/src/assets/img_ecommerce/cat_pasta/Maritati-integrali.jpg"
"Pasta fresca Capunti di semola","1","500.00","2.50","Pasta fresca
Farina di semola di grano duro
Farina prodotta in Puglia
Formato 500 gr
Produzione Made in Italy artigianale","/src/assets/img_ecommerce/cat_pasta/Pasta-Capunti.jpg"
"Maritati pasta fresca","1","500.00","1.90","Pasta fresca
Farina di semola Senatore Cappelli
Farina prodotta in Puglia
Formato 500 gr
Produzione Made in Italy artigianale","/src/assets/img_ecommerce/cat_pasta/Maritati-Pasta-fresca.jpg"